Plant Species,Functional Group,Molecular Weight (g/mol),pKa,log Kow, Exposure time  (hrs),RCF (L/g),SCF (L/g)  ,TF
Chinese Cabbage,Carboxylate,364.1,0.81,2.05,2232,0.000383,0.004355,11.3708
Chinese Cabbage,Carboxylate,414.1,3.15,3.1,2232,0.000593,0.0030187,5.0906
Chinese Cabbage,Carboxylate,414.07,0.23,3.54,2232,0.00577,0.0045238,0.784
Chinese Cabbage,Carboxylate,464.08,0.4,4.15,2232,0.02803,0.005141,0.1834
Chinese Cabbage,Carboxylate,564.09,0.54,4,2232,0.12022,0.001782,0.0148
Chinese Cabbage,Carboxylate,614.1,0.54,8.76,2232,0.13341,NaN,NaN
Chinese Cabbage,Carboxylate,330.5,-0.73,5.41,2232,0.000051,0.003348,65.6471
Chinese Cabbage,Carboxylate,496.076,-1.29,8.69,2232,0.003558,0.0000979,0.0275
Chinese Cabbage,Sulfonate,300.1,-1.61,2.79,2232,NaN,0.003364,NaN
Chinese Cabbage,Sulfonate,400.1,-1.64,2.2,2232,0.00196,0.0009567,0.4881
Chinese Cabbage,Sulfonate,500.1,-1.64,5.61,2232,0.03467,0.0039375,0.1136
Chinese Cabbage,Sulfonate,670.67,1.96,6.64,2232,0.122553,NaN,NaN
Chinese Cabbage,Sulfonate,428.16,1.23,3.73,2232,0.0015278,0.000793,0.519
Chinese Cabbage,Sulfonate,528.18,1.33,5.22,2232,0.019679,0.0060897,0.3095
Cucumber,Carboxylate,214.1,-0.21,1.43,2232,0.01192,0.075652,6.3466
Cucumber,Carboxylate,264.1,-0.8,1.35,2232,0.00482,0.0309608,6.4234
Cucumber,Carboxylate,314.1,0.2,2.85,2232,0.0021,0.0202386,9.6374
Cucumber,Carboxylate,364.1,0.81,2.05,2232,0.0013,0.030688,23.6062
Cucumber,Carboxylate,414.1,3.15,3.1,2232,0.00183,0.022673,12.3896
Cucumber,Carboxylate,414.07,0.23,3.54,2232,0.01012,0.017543,1.7335
Cucumber,Carboxylate,464.08,0.4,4.15,2232,0.03357,0.017522,0.522
Cucumber,Carboxylate,564.09,0.54,4,2232,0.09553,0.015379,0.161
Cucumber,Carboxylate,614.1,0.54,8.76,2232,0.06859,0.001687,0.0246
Cucumber,Carboxylate,330.5,-0.73,5.41,2232,0.00182,0.010565,5.8049
Cucumber,Carboxylate,496.076,-1.29,8.69,2232,NaN,0.001844,NaN
Cucumber,Sulfonate,300.1,-1.61,2.79,2232,0.00383,0.015348,4.0073
Cucumber,Sulfonate,400.1,-1.64,2.2,2232,0.004,0.014284,3.571
Cucumber,Sulfonate,500.1,-1.64,5.61,2232,0.03581,0.011896,0.3322
Cucumber,Sulfonate,670.67,1.96,6.64,2232,0.134894,NaN,NaN
Cucumber,Sulfonate,428.16,1.23,3.73,2232,0.0094722,0.022556,2.3813
Cucumber,Sulfonate,528.18,1.33,5.22,2232,0.042252,0.015167,0.359
Lettuce,Carboxylate,264.1,-0.8,1.35,24,0.00113,0.0033,2.9204
Lettuce,Carboxylate,264.1,-0.8,1.35,48,0.00265,0.00596,2.2491
Lettuce,Carboxylate,264.1,-0.8,1.35,72,0.00287,0.00836,2.9129
Lettuce,Carboxylate,264.1,-0.8,1.35,96,0.0052,0.01478,2.8423
Lettuce,Carboxylate,264.1,-0.8,1.35,144,0.00336,0.01268,3.7738
Lettuce,Carboxylate,364.1,0.81,2.05,24,0.00236,0.00158,0.6695
Lettuce,Carboxylate,364.1,0.81,2.05,48,0.00354,0.00563,1.5904
Lettuce,Carboxylate,364.1,0.81,2.05,72,0.00419,0.00848,2.0239
Lettuce,Carboxylate,364.1,0.81,2.05,96,0.00541,0.00912,1.6858
Lettuce,Carboxylate,364.1,0.81,2.05,144,0.00641,0.01146,1.7878
Lettuce,Carboxylate,414.1,3.15,3.1,24,0.00423,0.00024,0.0567
Lettuce,Carboxylate,414.1,3.15,3.1,48,0.00657,0.00038,0.0578
Lettuce,Carboxylate,414.1,3.15,3.1,72,0.00619,0.00046,0.0743
Lettuce,Carboxylate,414.1,3.15,3.1,96,0.00868,0.00086,0.0991
Lettuce,Carboxylate,414.1,3.15,3.1,144,0.0101,0.00105,0.104
Lettuce,Carboxylate,414.07,0.23,3.54,24,0.00675,0.0001,0.0148
Lettuce,Carboxylate,414.07,0.23,3.54,48,0.00903,0.00009,0.01
Lettuce,Carboxylate,414.07,0.23,3.54,72,0.0099,0.00012,0.0121
Lettuce,Carboxylate,414.07,0.23,3.54,96,0.01529,0.00038,0.0249
Lettuce,Carboxylate,414.07,0.23,3.54,144,0.01311,0.00036,0.0275
Lettuce,Carboxylate,464.08,0.4,4.15,24,0.01463,0.00013,0.0089
Lettuce,Carboxylate,464.08,0.4,4.15,48,0.01902,0.00026,0.0137
Lettuce,Carboxylate,464.08,0.4,4.15,72,0.01905,0.00015,0.0079
Lettuce,Carboxylate,464.08,0.4,4.15,96,0.02839,0.00026,0.0092
Lettuce,Carboxylate,464.08,0.4,4.15,144,0.02961,0.00031,0.0105
Lettuce,Carboxylate,614.1,0.54,8.76,24,0.02134,0.00002,0.0009
Lettuce,Carboxylate,614.1,0.54,8.76,48,0.03003,0.00009,0.003
Lettuce,Carboxylate,614.1,0.54,8.76,72,0.04016,0.00018,0.0045
Lettuce,Carboxylate,614.1,0.54,8.76,96,0.03581,0.00022,0.0061
Lettuce,Carboxylate,614.1,0.54,8.76,144,0.07405,0.00031,0.0042
Lettuce,Sulfonate,300.1,-1.61,2.79,24,0.00104,0.00241,2.3173
Lettuce,Sulfonate,300.1,-1.61,2.79,48,0.0022,0.00426,1.9364
Lettuce,Sulfonate,300.1,-1.61,2.79,72,0.00352,0.00612,1.7386
Lettuce,Sulfonate,300.1,-1.61,2.79,96,0.00251,0.00658,2.6215
Lettuce,Sulfonate,300.1,-1.61,2.79,144,0.00377,0.00943,2.5013
Lettuce,Sulfonate,400.1,-1.64,2.2,24,0.00382,0.00193,0.5052
Lettuce,Sulfonate,400.1,-1.64,2.2,48,0.0068,0.00439,0.6456
Lettuce,Sulfonate,400.1,-1.64,2.2,72,0.0123,0.00741,0.6024
Lettuce,Sulfonate,400.1,-1.64,2.2,96,0.01345,0.00718,0.5338
Lettuce,Sulfonate,400.1,-1.64,2.2,144,0.01458,0.00817,0.5604
Lettuce,Sulfonate,500.1,-1.64,5.61,24,0.01209,0.00027,0.0223
Lettuce,Sulfonate,500.1,-1.64,5.61,48,0.01404,0.00034,0.0242
Lettuce,Sulfonate,500.1,-1.64,5.61,72,0.02061,0.00046,0.0223
