Plant Species,Functional Group,Molecular Weight (g/mol),pKa,log Kow, Exposure time  (hrs),RCF (L/g),SCF (L/g)  ,TF
Zucchini,Carboxylate,214.1,-0.21,1.43,960,0.0013,0.0013,1
Zucchini,Carboxylate,214.1,-0.21,1.43,960,0.002,0.00012,0.06
Zucchini,Carboxylate,214.1,-0.21,1.43,960,0.002,0.0006,0.3
Zucchini,Carboxylate,214.1,-0.21,1.43,960,0.002,0.0009,0.45
Zucchini,Carboxylate,264.1,-0.8,1.35,960,0.006,0.00125,0.208
Zucchini,Carboxylate,264.1,-0.8,1.35,960,0.004,0.00012,0.03
Zucchini,Carboxylate,264.1,-0.8,1.35,960,0.005,0.0016,0.32
Zucchini,Carboxylate,264.1,-0.8,1.35,960,0.003,0.002,0.67
Zucchini,Carboxylate,314.1,0.2,2.85,960,0.007,0.007,1
Zucchini,Carboxylate,314.1,0.2,2.85,960,0.006,0.006,1
Zucchini,Carboxylate,314.1,0.2,2.85,960,0.008,0.0045,0.563
Zucchini,Carboxylate,314.1,0.2,2.85,960,0.004,0.005,1.25
Zucchini,Carboxylate,364.1,0.81,2.05,960,0.011,0.007,0.636
Zucchini,Carboxylate,364.1,0.81,2.05,960,0.011,0.008,0.727
Zucchini,Carboxylate,364.1,0.81,2.05,960,0.011,0.008,0.727
Zucchini,Carboxylate,364.1,0.81,2.05,960,0.009,0.008,0.889
Zucchini,Carboxylate,414.1,3.15,3.1,960,0.03,0.01,0.333
Zucchini,Carboxylate,414.1,3.15,3.1,960,0.03,0.01,0.333
Zucchini,Carboxylate,414.1,3.15,3.1,960,0.028,0.001,0.036
Zucchini,Carboxylate,414.1,3.15,3.1,960,0.02,0.01,0.5
Zucchini,Carboxylate,414.07,0.23,3.54,960,0.08,0.02,0.25
Zucchini,Carboxylate,414.07,0.23,3.54,960,0.06,0.01,0.167
Zucchini,Carboxylate,414.07,0.23,3.54,960,0.06,0.01,0.167
Zucchini,Carboxylate,414.07,0.23,3.54,960,0.05,0.01,0.2
Zucchini,Carboxylate,464.08,0.4,4.15,960,0.24,0.01,0.0417
Zucchini,Carboxylate,464.08,0.4,4.15,960,0.13,0.008,0.062
Zucchini,Carboxylate,464.08,0.4,4.15,960,0.11,0.009,0.082
Zucchini,Carboxylate,464.08,0.4,4.15,960,0.09,0.01,0.111
Zucchini,Carboxylate,564.09,0.54,4,960,0.35,0.008,0.023
Zucchini,Carboxylate,564.09,0.54,4,960,0.24,0.006,0.025
Zucchini,Carboxylate,564.09,0.54,4,960,0.3,0.007,0.0233
Zucchini,Carboxylate,564.09,0.54,4,960,0.23,0.008,0.0348
Zucchini,Carboxylate,614.1,0.54,8.76,960,0.32,0.004,0.0125
Zucchini,Carboxylate,614.1,0.54,8.76,960,0.26,0.003,0.0115
Zucchini,Carboxylate,614.1,0.54,8.76,960,0.15,0.002,0.0133
Zucchini,Carboxylate,614.1,0.54,8.76,960,0.1,0.002,0.02
Zucchini,Carboxylate,664.1,0.54,8.76,960,0.17,0.004,0.0235
Zucchini,Carboxylate,664.1,0.54,8.76,960,0.16,0.0004,0.0025
Zucchini,Carboxylate,664.1,0.54,8.76,960,0.14,0.0003,0.0021
Zucchini,Carboxylate,664.1,0.54,8.76,960,0.11,0.0004,0.0036
Zucchini,Carboxylate,714.11,0.54,5.1,960,0.61,0.006,0.0098
Zucchini,Carboxylate,714.11,0.54,5.1,960,0.75,0.0006,0.0008
Zucchini,Carboxylate,714.11,0.54,5.1,960,0.43,0.0002,0.0005
Zucchini,Carboxylate,714.11,0.54,5.1,960,0.2,0.0001,0.0005
Zucchini,Sulfonate,300.1,-1.61,2.79,960,0.01,0.00004,0.004
Zucchini,Sulfonate,300.1,-1.61,2.79,960,0.01,0.001,0.1
Zucchini,Sulfonate,300.1,-1.61,2.79,960,0.013,0.001,0.077
Zucchini,Sulfonate,300.1,-1.61,2.79,960,0.009,0.001,0.111
Zucchini,Sulfonate,400.1,-1.64,2.2,960,0.02,0.01,0.5
Zucchini,Sulfonate,400.1,-1.64,2.2,960,0.03,0.005,0.167
Zucchini,Sulfonate,400.1,-1.64,2.2,960,0.029,0.004,0.138
Zucchini,Sulfonate,400.1,-1.64,2.2,960,0.015,0.003,0.2
Tomato,Carboxylate,214.1,-0.21,1.43,960,0.0017,0.003,1.765
Tomato,Carboxylate,214.1,-0.21,1.43,960,0.001,0.002,2
Tomato,Carboxylate,214.1,-0.21,1.43,960,0.001,0.002,2
Tomato,Carboxylate,214.1,-0.21,1.43,960,0.0005,0.001,2
Tomato,Carboxylate,264.1,-0.8,1.35,960,0.002,0.002,1
Tomato,Carboxylate,264.1,-0.8,1.35,960,0.001,0.002,2
Tomato,Carboxylate,264.1,-0.8,1.35,960,0.001,0.001,1
Tomato,Carboxylate,264.1,-0.8,1.35,960,0.001,0.001,1
Tomato,Carboxylate,314.1,0.2,2.85,960,0.004,0.003,0.75
Tomato,Carboxylate,314.1,0.2,2.85,960,0.0038,0.003,0.79
Tomato,Carboxylate,314.1,0.2,2.85,960,0.002,0.004,2
Tomato,Carboxylate,314.1,0.2,2.85,960,0.001,0.004,4
Tomato,Carboxylate,364.1,0.81,2.05,960,0.004,0.0045,1.13
Tomato,Carboxylate,364.1,0.81,2.05,960,0.0039,0.006,1.54
Tomato,Carboxylate,364.1,0.81,2.05,960,0.003,0.004,1.33
Tomato,Carboxylate,364.1,0.81,2.05,960,0.002,0.004,2
Tomato,Carboxylate,414.1,3.15,3.1,960,0.007,0.009,1.29
Tomato,Carboxylate,414.1,3.15,3.1,960,0.016,0.008,0.5
Tomato,Carboxylate,414.1,3.15,3.1,960,0.01,0.007,0.7
